"","res_name"
"1","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2","BR"
"3","BR"
"4","EPE"
"5","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"6","MG"
"7","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"8","MG"
"9","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"10","HEM"
"11","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"12","CA"
"13","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"14","MES"
"15","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"16","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"17","MLI_MLA_IVA_ASJ"
"18","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"19","FMN_RBF"
"20","CA"
"21","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"22","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"23","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"24","FAD_FDA"
"25","TPO"
"26","ZN"
"27","FES"
"28","ZN"
"29","FAD_FDA"
"30","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"31","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"32","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"33","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"34","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"35","IHP"
"36","CIT_FLC_NCD"
"37","CIT_FLC_NCD"
"38","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"39","PCA"
"40","AMP_5GP_CMP_IMP_PCG_XMP"
"41","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"42","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"43","ZN"
"44","HEM"
"45","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"46","CA"
"47","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"48","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"49","SF4_F3S"
"50","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"51","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"52","CA"
"53","MN"
"54","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"55","MG"
"56","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"57","NAG_NDG_A2G_NGA_MAG"
"58","HEM"
"59","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"60","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"61","CA"
"62","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"63","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"64","HEM"
"65","NAG_NDG_A2G_NGA_MAG"
