{'n_estimators': 30, 'criterion': 'gini', 'max_depth': None}
               precision    recall  f1-score   support
        1PE       0.18      0.33      0.24         6
        2NC       0.25      1.00      0.40         1
        5CM       0.00      0.00      0.00         1
        5GP       0.00      0.00      0.00         0
        8OG       1.00      0.20      0.33         5
        A2G       0.00      0.00      0.00         3
        A3P       1.00      0.50      0.67         2
        A8S       0.00      0.00      0.00         1
        ABA       0.00      0.00      0.00         0
        ACE       1.00      0.25      0.40         4
        ACO       0.00      0.00      0.00         4
        ACP       0.00      0.00      0.00         2
        ACT       0.24      0.29      0.27        38
        ACY       0.00      0.00      0.00         5
        ADE       0.00      0.00      0.00         4
        ADN       0.00      0.00      0.00         6
        ADP       0.16      0.50      0.24        26
        AGS       0.00      0.00      0.00         1
        ALY       0.00      0.00      0.00         2
        AMP       0.33      0.17      0.22        12
        ANP       0.00      0.00      0.00         7
        APC       0.00      0.00      0.00         2
        ATP       0.31      0.17      0.22        29
         AU       0.00      0.00      0.00         3
        B12       0.67      0.67      0.67         3
         BA       0.00      0.00      0.00         1
        BCL       0.00      0.00      0.00         3
        BCT       0.00      0.00      0.00         2
        BDP       0.00      0.00      0.00         1
        BEN       0.50      0.50      0.50         4
        BEZ       0.00      0.00      0.00         1
        BGC       0.00      0.00      0.00         7
        BMA       0.00      0.00      0.00         6
        BME       0.25      0.11      0.15        18
        BOG       0.09      0.09      0.09        11
        BPH       0.50      0.33      0.40         3
         BR       0.00      0.00      0.00         6
        BRU       0.00      0.00      0.00         1
        BTB       0.00      0.00      0.00         2
        BTN       0.33      0.50      0.40         2
        C2E       0.00      0.00      0.00         2
        C2F       0.00      0.00      0.00         2
        C5P       0.00      0.00      0.00         3
        C8E       0.00      0.00      0.00         3
         CA       0.40      0.58      0.47       153
        CAC       0.00      0.00      0.00         7
        CAD       0.00      0.00      0.00         2
        CAM       0.00      0.00      0.00         2
        CAS       1.00      0.50      0.67         2
        CCC       0.00      0.00      0.00         1
         CD       0.50      0.17      0.26        23
        CDL       0.00      0.00      0.00         0
        CIR       0.00      0.00      0.00         1
        CIT       0.20      0.13      0.16        15
         CL       0.39      0.47      0.42        79
        CME       0.00      0.00      0.00         4
         CO       0.00      0.00      0.00        12
        CO3       0.00      0.00      0.00         2
        COA       0.00      0.00      0.00         3
        CR2       0.20      1.00      0.33         1
        CRO       0.75      0.50      0.60         6
         CS       0.00      0.00      0.00         2
        CSD       0.29      0.25      0.27         8
        CSO       0.00      0.00      0.00         8
        CSS       0.00      0.00      0.00         2
        CSX       0.00      0.00      0.00         4
        CTP       0.00      0.00      0.00         2
